step,square_root,calculateIntersection,getAngleFromModel,leastSquare,coefficientOfDetermination,inliersOutliersMemory,inliersOutliers,squareDistanceBetweenPoints
0,0,0,0,0,0,88342,0,0
1,1175,327,205538,274211,294327,85709,398802,44700
2,0,0,0,0,0,89424,0,0
3,1346,327,212771,189140,195810,90226,276025,41694
4,0,0,0,0,0,88342,0,0
5,0,0,0,0,0,87626,0,0
6,1175,327,212836,632240,706110,123574,799854,20792
7,0,0,0,0,0,114851,0,0
8,491,327,212846,299185,324177,77939,542735,35626
9,0,0,0,0,0,115392,0,0
10,1346,327,204242,126739,140391,136901,555034,32368
11,0,0,0,0,0,122390,0,0
12,0,0,0,0,0,114823,0,0
13,0,0,0,459220,506850,113041,592637,26389
